incorrect!,incorrect1,incorrect#,in#correct@incorr ect.incorrect,in correct,in correct,c
in,in,lessthanmaxfirstandlast,correct@correct12.correct,correct,correct,c
in,in,morethanmaxfirstandlast,correct@correct13.correct,correct,correct,c
in,in,morethanmaxfirstandlast,correct@correct14.correct,correct,correct,c
MAXincorrectincorrect,in,MoreThanMaxFirstAndLast,correct@correct15.correct,correct,correct,c
correct,correct,incorrect_123,correct@correct4.correct,correct,correct,correct
correct,correct,incorrectincorMAXMORE,correct@correct16.correct,correct,correct,c
lessThan,minNick,le,correct@correct17.correct,correct,correct,c
correct,correct,1incorrect,correct@correct18.correct,correct,correct,c
correct,correct,correct,@incorrect.com,correct,correct,c
correct,correct,correct,MORETHANMAX@incorrectincorrectincorrectincorrect.com,correct,correct,c
correct,correct,correct,correct@correct19.correct,INcorrect,incorrect,c
lessThan,MinPass,correct,correct@correct20.correct19,inco,inco,c
moreThan,MaxPass,correct,correct@correct21.correct,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww,wwwwwwwwwwwwwwwwwwwwwwwwwwwww111,c
